trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.2, 'e': 1.0}",20,0,-174.5568364144957,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
89,False,"{'a': 0.2, 'e': 1.0}",25,0,-47.49126269026063,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 1.0}",20,0,-131.71215976545287,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
91,False,"{'a': 0.2, 'e': 1.0}",20,12,-60.1448048370736,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.2, 'e': 1.0}",30,0,-164.7029653409322,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
93,False,"{'a': 0.2, 'e': 1.0}",30,0,-107.24524624359782,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
94,False,"{'a': 0.2, 'e': 1.0}",30,0,-255.02855719949693,"{0: 12, 1: 3, 2: 11, 3: 1, 4: 3}",0
95,False,"{'a': 0.2, 'e': 1.0}",25,0,-87.35979642902173,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
96,False,"{'a': 0.2, 'e': 1.0}",30,0,-92.96273584759041,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
97,False,"{'a': 0.2, 'e': 1.0}",20,0,-130.0593975565083,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
98,False,"{'a': 0.2, 'e': 1.0}",20,0,-99.9955965814224,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.2, 'e': 1.0}",25,0,-78.26776857526401,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
100,False,"{'a': 0.2, 'e': 1.0}",35,0,-97.98253748047229,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.2, 'e': 1.0}",25,0,-277.3552504703514,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 5}",0
102,False,"{'a': 0.2, 'e': 1.0}",20,0,-82.0700179714343,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
